region,class,period,fromYear,toYear,width,gain,loss,net
Northwest,Grassland/Shrubland,2001-2006,2001,2006,5,1368.8,363,1005.8
Northwest,Grassland/Shrubland,2006-2011,2006,2011,5,1684.3999999999999,257.8,1426.6
Northwest,Mechanically disturbed,1973-1980,1973,1980,7,1013,1221.142857142857,-208.1428571428571
Northwest,Mechanically disturbed,1980-1986,1980,1986,6,1375.6666666666667,1182.5,193.16666666666674
Northwest,Mechanically disturbed,1986-1992,1986,1992,6,1869,1377.5,491.5
Northwest,Mechanically disturbed,1992-2000,1992,2000,8,1129.5,1405.25,-275.75
Northwest,Mechanically disturbed,2001-2006,2001,2006,5,0,0,0
Northwest,Mechanically disturbed,2006-2011,2006,2011,5,0,0,0
Northwest,Mining,1973-1980,1973,1980,7,8.285714285714286,0.7142857142857142,7.571428571428572
Northwest,Mining,1980-1986,1980,1986,6,11.5,3.3333333333333335,8.166666666666666
Northwest,Mining,1986-1992,1986,1992,6,11,4.5,6.5
Northwest,Mining,1992-2000,1992,2000,8,12.25,2.75,9.5
Northwest,Mining,2001-2006,2001,2006,5,0,0,0
Northwest,Mining,2006-2011,2006,2011,5,0,0,0
Northwest,Nonmechanically disturbed,1973-1980,1973,1980,7,8.714285714285714,157,-148.28571428571428
Northwest,Nonmechanically disturbed,1980-1986,1980,1986,6,295.8333333333333,10.333333333333332,285.5
Northwest,Nonmechanically disturbed,1986-1992,1986,1992,6,577,279.8333333333333,297.1666666666667
Northwest,Nonmechanically disturbed,1992-2000,1992,2000,8,1393.125,272.75,1120.375
Northwest,Nonmechanically disturbed,2001-2006,2001,2006,5,0,0,0
Northwest,Nonmechanically disturbed,2006-2011,2006,2011,5,0,0,0
Northwest,Snow/Ice,1973-1980,1973,1980,7,0,1.2857142857142858,-1.2857142857142858
Northwest,Snow/Ice,1980-1986,1980,1986,6,0,0,0
Northwest,Snow/Ice,1986-1992,1986,1992,6,0.5,0.6666666666666666,-0.16666666666666663
Northwest,Snow/Ice,1992-2000,1992,2000,8,0,1.125,-1.125
Northwest,Snow/Ice,2001-2006,2001,2006,5,0,0,0
Northwest,Snow/Ice,2006-2011,2006,2011,5,0,0,0
Northwest,Water,1973-1980,1973,1980,7,35.714285714285715,52.85714285714286,-17.142857142857146
Northwest,Water,1980-1986,1980,1986,6,76.33333333333333,14.166666666666666,62.166666666666664
Northwest,Water,1986-1992,1986,1992,6,10.5,129.5,-119
Northwest,Water,1992-2000,1992,2000,8,48.25,9.25,39
Northwest,Water,2001-2006,2001,2006,5,58.6,28.2,30.400000000000002
Northwest,Water,2006-2011,2006,2011,5,30,25.8,4.199999999999999
Northwest,Wetland,1973-1980,1973,1980,7,19,26.285714285714285,-7.285714285714285
Northwest,Wetland,1980-1986,1980,1986,6,34,32.33333333333333,1.6666666666666714
Northwest,Wetland,1986-1992,1986,1992,6,53.833333333333336,21.666666666666668,32.16666666666667
Northwest,Wetland,1992-2000,1992,2000,8,27.125,20.875,6.25
Northwest,Wetland,2001-2006,2001,2006,5,74.2,28.8,45.400000000000006
Northwest,Wetland,2006-2011,2006,2011,5,30.2,15.200000000000001,14.999999999999998
Southeast,Agriculture,1973-1980,1973,1980,7,898.2857142857142,705.5714285714286,192.71428571428567
Southeast,Agriculture,1980-1986,1980,1986,6,774.5,1473.8333333333333,-699.3333333333333
Southeast,Agriculture,1986-1992,1986,1992,6,514.3333333333334,2525.1666666666665,-2010.833333333333
Southeast,Agriculture,1992-2000,1992,2000,8,490.75,1392.625,-901.875
Southeast,Agriculture,2001-2006,2001,2006,5,299.2,1436,-1136.8
Southeast,Agriculture,2006-2011,2006,2011,5,272.6,806.2,-533.6
